Incident_ID,Date,Department,Type,Severity,Resolved,Owner_Employee_ID,Linked_Vendor_ID,Financial_Impact_INR
INC000248,11 April 2026,Procurement,Payment Delay,CRITICAL,False,IBSH00058,IV0032," 352,230.00 "
INC000249,25 September 2025,Vendor Management,Audit Finding,CRITICAL,True,IBSH00011,IV0050," 462,825.00 "
INC000250,13 April 2026,Compliance,Contract Non-Compliance,MEDIUM,True,IBSH00035,IV0010," 500,000.00 "
INC000251,12 December 2025,Risk & Audit,Contract Non-Compliance,CRITICAL,True,IBSH00012,IV0001," 342,061.00 "
INC000252,5 November 2025,Compliance,PO Expiry,HIGH,True,IBSH00012,IV0012," 292,870.00 "
INC000253,7 January 2026,Procurement,Contract Non-Compliance,CRITICAL,True,IBSH00046,IV0036," 118,310.00 "
INC000254,18 July 2025,Procurement,Payment Delay,HIGH,False,IBSH00053,IV0025," 413,951.00 "
INC000255,14 July 2025,IT,PO Expiry,MEDIUM,False,IBSH00088,IV0025," 609,743.00 "
INC000256,26 August 2025,Finance,Policy Violation,HIGH,True,IBSH00019,IV0005," 325,759.00 "
INC000257,25 August 2025,Finance,Policy Violation,HIGH,True,IBSH00010,IV0024," 451,557.00 "
INC000258,7 October 2025,Operations,Vendor Risk,CRITICAL,True,IBSH00059,IV0007," 632,651.00 "
INC000259,9 August 2025,Risk & Audit,Audit Finding,LOW,True,IBSH00043,IV0029," 424,913.00 "
INC000260,19 November 2025,Risk & Audit,Vendor Risk,MEDIUM,True,IBSH00062,IV0021," 325,029.00 "
INC000261,30 August 2025,HR,Vendor Risk,HIGH,True,IBSH00042,IV0025," 315,605.00 "
INC000262,22 October 2025,Operations,Vendor Risk,HIGH,True,IBSH00076,IV0035," 129,420.00 "
INC000263,1 September 2025,HR,Vendor Risk,LOW,False,IBSH00057,," 772,538.00 "
INC000264,28 October 2025,HR,PO Expiry,CRITICAL,True,IBSH00082,IV0020," 715,668.00 "
INC000265,2 October 2025,Supply Chain,Audit Finding,MEDIUM,True,IBSH00010,IV0029," 759,979.00 "
INC000266,3 April 2026,IT,Audit Finding,CRITICAL,True,IBSH00070,IV0003," 570,324.00 "
INC000267,2 December 2025,Legal,Training Overdue,LOW,False,IBSH00022,IV0042," 124,682.00 "
INC000268,10 April 2026,Risk & Audit,Audit Finding,CRITICAL,True,IBSH00014,IV0001," 799,245.00 "
INC000269,21 July 2025,IT,Data Quality,MEDIUM,True,IBSH00075,IV0045," 545,482.00 "
INC000270,22 March 2026,Supply Chain,Policy Violation,CRITICAL,True,IBSH00099,IV0044," 402,292.00 "
INC000271,29 March 2026,Procurement,Policy Violation,MEDIUM,False,IBSH00014,IV0019," 371,724.00 "
INC000272,30 December 2025,Vendor Management,Training Overdue,LOW,True,IBSH00040,IV0022," 775,618.00 "
INC000273,20 January 2026,HR,Contract Non-Compliance,CRITICAL,True,IBSH00057,IV0047," 375,219.00 "
INC000274,18 January 2026,Procurement,Contract Non-Compliance,LOW,True,IBSH00003,IV0022," 324,849.00 "
INC000275,28 April 2026,Legal,Data Quality,MEDIUM,True,IBSH00023,IV0036," 786,459.00 "
INC000276,21 August 2025,Legal,Audit Finding,CRITICAL,True,IBSH00081,IV0012," 494,498.00 "
INC000277,4 September 2025,Operations,Vendor Risk,CRITICAL,True,IBSH00058,IV0038," 40,610.00 "
INC000278,6 January 2026,Legal,Vendor Risk,LOW,True,IBSH00036,IV0049," 748,968.00 "
INC000279,3 July 2025,Vendor Management,Training Overdue,LOW,False,IBSH00042,IV0013," 572,968.00 "
INC000280,21 January 2026,HR,Data Quality,HIGH,True,IBSH00082,IV0021," 713,281.00 "
INC000281,2 April 2026,Compliance,Training Overdue,CRITICAL,True,IBSH00046,IV0030," 625,519.00 "
INC000282,13 April 2026,Operations,Contract Non-Compliance,HIGH,True,IBSH00087,IV0009," 654,333.00 "
INC000283,8 November 2025,Compliance,PO Expiry,MEDIUM,True,IBSH00048,IV0045," 330,214.00 "
INC000284,12 August 2025,Operations,PO Expiry,CRITICAL,False,IBSH00074,IV0025," 448,555.00 "
INC000285,3 January 2026,IT,PO Expiry,CRITICAL,True,IBSH00072,IV0011," 676,371.00 "
INC000286,6 February 2026,Risk & Audit,Policy Violation,MEDIUM,True,IBSH00080,IV0004," 206,187.00 "
INC000287,1 December 2025,Legal,Audit Finding,CRITICAL,True,IBSH00072,IV0033," 153,167.00 "
INC000288,1 May 2026,HR,Audit Finding,CRITICAL,True,IBSH00091,IV0029," 727,956.00 "
INC000289,6 February 2026,Procurement,Vendor Risk,LOW,True,IBSH00038,IV0003," 602,862.00 "
INC000290,19 October 2025,HR,Policy Violation,HIGH,True,IBSH00071,IV0033," 186,379.00 "
INC000291,28 July 2025,IT,Training Overdue,LOW,False,IBSH00070,," 290,901.00 "
INC000292,22 June 2025,Compliance,Vendor Risk,MEDIUM,True,IBSH00039,IV0003," 455,807.00 "
INC000293,17 January 2026,HR,Contract Non-Compliance,HIGH,True,IBSH00100,," 101,208.00 "
INC000294,30 September 2025,Operations,Audit Finding,HIGH,True,IBSH00022,IV0040," 755,279.00 "
INC000295,11 August 2025,Operations,Training Overdue,MEDIUM,True,IBSH00069,IV0018," 72,241.00 "
INC000296,2 April 2026,Finance,Payment Delay,MEDIUM,False,IBSH00074,IV0018," 349,375.00 "
INC000297,19 February 2026,Supply Chain,Approval Delay,MEDIUM,True,IBSH00036,IV0042," 796,530.00 "
INC000298,4 August 2025,Risk & Audit,Vendor Risk,MEDIUM,True,IBSH00098,IV0044," 163,347.00 "
INC000299,19 December 2025,Finance,Audit Finding,MEDIUM,True,IBSH00049,IV0029," 615,474.00 "
INC000300,9 July 2025,Finance,Training Overdue,CRITICAL,True,IBSH00059,IV0032," 500,000.00 "
INC000301,15 November 2025,Compliance,Policy Violation,LOW,False,IBSH00082,IV0043," 778,316.00 "
INC000302,1 December 2025,Supply Chain,Vendor Risk,CRITICAL,True,IBSH00064,IV0018," 238,411.00 "
INC000303,13 November 2025,Operations,PO Expiry,HIGH,True,IBSH00073,IV0032," 583,896.00 "
INC000304,23 November 2025,HR,Approval Delay,LOW,True,IBSH00016,IV0011," 114,411.00 "
INC000305,12 January 2026,Legal,PO Expiry,LOW,True,IBSH00084,IV0020," 458,580.00 "
INC000306,21 August 2025,Risk & Audit,Payment Delay,LOW,True,IBSH00011,IV0024," 696,385.00 "
INC000307,7 May 2026,Finance,Vendor Risk,LOW,True,IBSH00055,IV0042," 425,594.00 "
INC000308,17 July 2025,HR,Contract Non-Compliance,LOW,True,IBSH00017,IV0038," 233,788.00 "
INC000309,24 September 2025,Procurement,Training Overdue,CRITICAL,False,IBSH00016,IV0028," 19,738.00 "
INC000310,7 August 2025,Supply Chain,Contract Non-Compliance,LOW,True,IBSH00094,," 250,068.00 "
INC000311,23 July 2025,Finance,PO Expiry,HIGH,True,IBSH00049,IV0050," 395,416.00 "
INC000312,8 August 2025,Operations,Approval Delay,LOW,True,IBSH00079,IV0042," 566,278.00 "
INC000313,24 August 2025,Legal,PO Expiry,HIGH,True,IBSH00053,IV0040," 767,524.00 "
INC000314,13 January 2026,Vendor Management,Contract Non-Compliance,LOW,True,IBSH00076,IV0047," 115,345.00 "
INC000315,14 December 2025,Vendor Management,Vendor Risk,CRITICAL,True,IBSH00036,IV0042," 339,780.00 "
INC000316,14 July 2025,Procurement,Payment Delay,HIGH,True,IBSH00027,IV0034," 734,016.00 "
INC000317,7 April 2026,Supply Chain,Payment Delay,MEDIUM,False,IBSH00083,IV0004," 794,170.00 "
INC000318,1 October 2025,Legal,Policy Violation,CRITICAL,True,IBSH00082,IV0039," 128,220.00 "
INC000319,7 July 2025,Risk & Audit,PO Expiry,LOW,False,IBSH00050,IV0037," 388,638.00 "
INC000320,2 January 2026,Compliance,Approval Delay,MEDIUM,True,IBSH00076,IV0005," 503,894.00 "
INC000321,8 June 2025,Procurement,Audit Finding,MEDIUM,True,IBSH00065,IV0019," 51,761.00 "
INC000322,18 April 2026,Supply Chain,Contract Non-Compliance,CRITICAL,False,IBSH00082,IV0035," 454,150.00 "
INC000323,3 March 2026,Compliance,Payment Delay,MEDIUM,False,IBSH00011,IV0033," 300,946.00 "
INC000324,13 September 2025,Operations,Contract Non-Compliance,HIGH,True,IBSH00040,IV0045," 419,711.00 "
INC000325,10 January 2026,Compliance,Audit Finding,LOW,True,IBSH00015,IV0030," 266,355.00 "
INC000326,10 April 2026,Vendor Management,Contract Non-Compliance,LOW,False,IBSH00002,IV0046," 334,314.00 "
INC000327,10 August 2025,Risk & Audit,Data Quality,MEDIUM,True,IBSH00067,," 530,526.00 "
INC000328,11 October 2025,Finance,Contract Non-Compliance,HIGH,True,IBSH00099,IV0002," 143,096.00 "
INC000329,19 November 2025,Compliance,Payment Delay,HIGH,True,IBSH00092,IV0037," 559,300.00 "
INC000330,18 April 2026,IT,Training Overdue,CRITICAL,True,IBSH00008,IV0032," 487,309.00 "
INC000331,18 March 2026,Finance,Contract Non-Compliance,HIGH,True,IBSH00074,IV0044," 174,951.00 "
INC000332,30 July 2025,Procurement,Vendor Risk,LOW,True,IBSH00006,IV0031," 56,177.00 "
INC000333,4 December 2025,Procurement,Data Quality,MEDIUM,True,IBSH00092,IV0048," 197,654.00 "
INC000334,2 May 2026,Legal,Audit Finding,MEDIUM,True,IBSH00093,IV0021," 347,433.00 "
INC000335,17 October 2025,IT,Approval Delay,HIGH,True,IBSH00023,IV0015," 135,200.00 "
INC000336,20 February 2026,HR,Payment Delay,CRITICAL,True,IBSH00100,IV0020," 82,274.00 "
INC000337,15 November 2025,Risk & Audit,Vendor Risk,CRITICAL,True,IBSH00038,IV0037," 18,356.00 "
INC000338,3 November 2025,Risk & Audit,Policy Violation,MEDIUM,False,IBSH00099,IV0050," 496,462.00 "
INC000339,9 September 2025,Procurement,Audit Finding,MEDIUM,False,IBSH00004,IV0015," 167,880.00 "
INC000340,5 March 2026,Procurement,Audit Finding,LOW,True,IBSH00095,IV0047," 361,291.00 "
INC000341,5 November 2025,Legal,Audit Finding,MEDIUM,True,IBSH00063,IV0004," 565,550.00 "
INC000342,12 August 2025,Legal,Data Quality,LOW,True,IBSH00053,IV0045," 56,032.00 "
INC000343,8 December 2025,Compliance,Data Quality,LOW,True,IBSH00018,IV0041," 618,982.00 "
INC000344,19 December 2025,Vendor Management,Vendor Risk,LOW,True,IBSH00038,IV0017," 466,112.00 "
INC000345,9 November 2025,HR,Payment Delay,HIGH,True,IBSH00030,IV0005," 343,507.00 "
INC000346,12 September 2025,Compliance,PO Expiry,LOW,True,IBSH00058,IV0030," 172,959.00 "
INC000347,8 November 2025,Risk & Audit,Vendor Risk,LOW,True,IBSH00058,IV0020," 571,957.00 "
INC000348,24 January 2026,Vendor Management,Payment Delay,LOW,True,IBSH00091,IV0045," 104,813.00 "
INC000349,5 April 2026,Vendor Management,Contract Non-Compliance,MEDIUM,True,IBSH00092,IV0016," 353,716.00 "
INC000350,30 November 2025,Finance,Payment Delay,LOW,True,IBSH00023,IV0002," 500,000.00 "
INC000351,25 December 2025,HR,Contract Non-Compliance,MEDIUM,True,IBSH00018,IV0008," 109,326.00 "
INC000352,7 June 2025,Legal,Audit Finding,MEDIUM,True,IBSH00048,IV0044," 147,064.00 "
INC000353,19 April 2026,Procurement,Contract Non-Compliance,HIGH,True,IBSH00026,IV0042," 88,629.00 "
INC000354,14 January 2026,Compliance,Approval Delay,LOW,True,IBSH00060,IV0004," 357,655.00 "
INC000355,26 August 2025,Supply Chain,Policy Violation,CRITICAL,False,IBSH00004,IV0025," 769,620.00 "
INC000356,16 May 2026,Legal,PO Expiry,MEDIUM,True,IBSH00036,IV0018," 381,136.00 "
INC000357,15 January 2026,Operations,Vendor Risk,LOW,True,IBSH00083,IV0019," 653,937.00 "
INC000358,11 February 2026,Compliance,Payment Delay,CRITICAL,True,IBSH00050,IV0009," 73,941.00 "
INC000359,1 January 2026,IT,Approval Delay,MEDIUM,True,IBSH00049,," 671,393.00 "
INC000360,1 December 2025,Operations,Data Quality,CRITICAL,True,IBSH00042,IV0025," 370,745.00 "
INC000361,17 October 2025,Operations,Vendor Risk,LOW,True,IBSH00004,," 344,367.00 "
INC000362,22 October 2025,Risk & Audit,Vendor Risk,CRITICAL,True,IBSH00021,IV0007," 565,149.00 "
INC000363,5 October 2025,Procurement,Vendor Risk,HIGH,True,IBSH00074,," 569,614.00 "
INC000364,16 December 2025,Legal,Training Overdue,MEDIUM,True,IBSH00095,IV0045," 194,654.00 "
INC000365,1 December 2025,Risk & Audit,PO Expiry,LOW,False,IBSH00073,IV0013," 747,623.00 "
INC000366,8 February 2026,HR,Approval Delay,HIGH,False,IBSH00012,IV0004," 194,084.00 "
INC000367,28 September 2025,IT,Policy Violation,MEDIUM,False,IBSH00001,IV0022," 30,896.00 "
INC000368,11 April 2026,Vendor Management,Training Overdue,MEDIUM,True,IBSH00008,IV0002," 367,311.00 "
INC000369,15 August 2025,IT,Training Overdue,MEDIUM,False,IBSH00010,IV0024," 126,308.00 "
INC000370,6 May 2026,Finance,Training Overdue,LOW,True,IBSH00018,IV0011," 362,909.00 "
INC000371,10 January 2026,IT,Training Overdue,HIGH,True,IBSH00029,IV0043," 192,664.00 "
INC000372,29 March 2026,Finance,PO Expiry,CRITICAL,True,IBSH00023,IV0047," 331,727.00 "
INC000373,1 June 2025,Procurement,PO Expiry,CRITICAL,False,IBSH00078,IV0021," 605,048.00 "
INC000374,10 April 2026,Vendor Management,Training Overdue,LOW,True,IBSH00096,IV0005," 530,287.00 "
INC000375,30 September 2025,Compliance,Training Overdue,HIGH,True,IBSH00058,IV0001," 186,042.00 "
INC000376,14 October 2025,Compliance,Training Overdue,MEDIUM,True,IBSH00033,," 736,847.00 "
INC000377,26 July 2025,HR,Audit Finding,LOW,True,IBSH00022,IV0027," 414,684.00 "
INC000378,8 February 2026,Supply Chain,Contract Non-Compliance,HIGH,True,IBSH00062,," 582,547.00 "
INC000379,23 March 2026,Compliance,Approval Delay,MEDIUM,True,IBSH00038,IV0002," 483,209.00 "
INC000380,11 November 2025,Risk & Audit,PO Expiry,LOW,True,IBSH00049,IV0011," 87,804.00 "
INC000381,9 July 2025,Operations,Policy Violation,LOW,False,IBSH00091,IV0002," 364,366.00 "
INC000382,7 January 2026,Procurement,Contract Non-Compliance,CRITICAL,True,IBSH00043,IV0014," 174,735.00 "
INC000383,6 September 2025,Finance,Payment Delay,HIGH,True,IBSH00031,IV0007," 702,687.00 "
INC000384,26 June 2025,Procurement,Training Overdue,CRITICAL,True,IBSH00001,IV0028," 171,050.00 "
INC000385,15 July 2025,Compliance,Approval Delay,CRITICAL,True,IBSH00027,IV0011," 219,374.00 "
INC000386,23 April 2026,Compliance,Payment Delay,LOW,True,IBSH00051,IV0031," 506,574.00 "
INC000387,6 February 2026,IT,Audit Finding,LOW,True,IBSH00024,IV0024," 683,045.00 "
INC000388,13 December 2025,Procurement,Payment Delay,MEDIUM,True,IBSH00057,IV0030," 477,429.00 "
INC000389,13 October 2025,Procurement,PO Expiry,HIGH,True,IBSH00097,IV0045," 601,655.00 "
INC000390,8 May 2026,Risk & Audit,Data Quality,LOW,True,IBSH00053,IV0049," 710,596.00 "
INC000391,29 March 2026,IT,Audit Finding,LOW,True,IBSH00069,IV0044," 415,910.00 "
INC000392,30 January 2026,Finance,Contract Non-Compliance,MEDIUM,False,IBSH00051,IV0046," 509,397.00 "
INC000393,18 June 2025,HR,PO Expiry,MEDIUM,False,IBSH00022,IV0014," 136,124.00 "
INC000394,7 September 2025,Compliance,Audit Finding,LOW,True,IBSH00026,," 453,940.00 "
INC000395,18 April 2026,Compliance,Contract Non-Compliance,HIGH,True,IBSH00050,IV0036," 345,281.00 "
INC000396,21 December 2025,IT,Policy Violation,HIGH,False,IBSH00002,," 299,617.00 "
INC000397,16 April 2026,Supply Chain,PO Expiry,CRITICAL,False,IBSH00019,IV0037," 127,984.00 "
INC000398,29 March 2026,Operations,Contract Non-Compliance,LOW,False,IBSH00037,IV0035," 120,766.00 "
INC000399,24 November 2025,HR,Policy Violation,HIGH,True,IBSH00005,IV0012," 411,650.00 "
INC000400,20 October 2025,Operations,Audit Finding,MEDIUM,True,IBSH00005,IV0026," 500,000.00 "
INC000401,17 November 2025,HR,Payment Delay,LOW,True,IBSH00048,IV0002," 791,975.00 "
INC000402,20 November 2025,HR,Contract Non-Compliance,HIGH,True,IBSH00030,IV0009," 303,964.00 "
INC000403,1 November 2025,Supply Chain,Contract Non-Compliance,HIGH,True,IBSH00025,IV0029," 292,507.00 "
INC000404,17 September 2025,Risk & Audit,Approval Delay,CRITICAL,True,IBSH00066,," 551,590.00 "
INC000405,21 August 2025,IT,Audit Finding,HIGH,True,IBSH00018,IV0050," 754,037.00 "
INC000406,24 February 2026,Legal,Vendor Risk,LOW,False,IBSH00008,IV0016," 192,176.00 "
INC000407,17 June 2025,Legal,Payment Delay,LOW,True,IBSH00048,," 387,880.00 "
INC000408,24 January 2026,Compliance,Approval Delay,CRITICAL,False,IBSH00031,IV0024," 676,275.00 "
INC000409,6 February 2026,HR,Data Quality,CRITICAL,False,IBSH00045,IV0023," 196,209.00 "
INC000410,23 August 2025,Procurement,Audit Finding,LOW,True,IBSH00007,IV0011," 308,916.00 "
INC000411,20 March 2026,Legal,Vendor Risk,MEDIUM,True,IBSH00035,IV0042," 688,827.00 "
INC000412,27 December 2025,Procurement,Policy Violation,LOW,False,IBSH00017,IV0042," 725,338.00 "
INC000413,28 August 2025,Finance,Payment Delay,LOW,False,IBSH00092,IV0046," 244,639.00 "
INC000414,26 April 2026,Risk & Audit,Policy Violation,CRITICAL,True,IBSH00033,IV0014," 404,763.00 "
INC000415,25 January 2026,Compliance,Approval Delay,CRITICAL,True,IBSH00066,IV0043," 622,879.00 "
INC000416,9 December 2025,Compliance,Policy Violation,HIGH,False,IBSH00009,IV0022," 322,974.00 "
INC000417,20 October 2025,Finance,Vendor Risk,HIGH,True,IBSH00020,IV0034," 283,832.00 "
INC000418,2 October 2025,Risk & Audit,PO Expiry,CRITICAL,True,IBSH00093,IV0002," 702,616.00 "
INC000419,2 May 2026,Supply Chain,Audit Finding,HIGH,True,IBSH00050,IV0048," 282,028.00 "
INC000420,19 June 2025,Legal,Data Quality,MEDIUM,False,IBSH00082,," 369,836.00 "
INC000421,30 January 2026,IT,PO Expiry,HIGH,True,IBSH00038,IV0007," 188,243.00 "
INC000422,28 January 2026,IT,PO Expiry,HIGH,True,IBSH00088,IV0022," 770,413.00 "
INC000423,2 May 2026,Legal,Payment Delay,MEDIUM,True,IBSH00054,," 382,541.00 "
INC000424,17 November 2025,Finance,Policy Violation,HIGH,True,IBSH00016,IV0031," 624,015.00 "
INC000425,28 June 2025,Legal,Data Quality,LOW,False,IBSH00016,IV0044," 505,158.00 "
INC000426,13 December 2025,Procurement,PO Expiry,HIGH,False,IBSH00018,IV0013," 443,174.00 "
INC000427,23 November 2025,Risk & Audit,PO Expiry,CRITICAL,True,IBSH00100,IV0006," 160,181.00 "
INC000428,5 February 2026,Procurement,Approval Delay,MEDIUM,True,IBSH00058,IV0018," 338,638.00 "
INC000429,16 September 2025,Compliance,PO Expiry,MEDIUM,True,IBSH00079,IV0028," 523,358.00 "
INC000430,21 April 2026,HR,Audit Finding,CRITICAL,True,IBSH00001,IV0003," 459,865.00 "
INC000431,1 March 2026,Risk & Audit,Data Quality,HIGH,True,IBSH00025,IV0002," 24,760.00 "
INC000432,13 May 2026,Risk & Audit,Payment Delay,MEDIUM,True,IBSH00017,IV0007," 247,256.00 "
INC000433,14 December 2025,Compliance,Approval Delay,HIGH,False,IBSH00039,IV0019," 185,133.00 "
INC000434,20 January 2026,Vendor Management,Training Overdue,HIGH,False,IBSH00063,IV0023," 464,730.00 "
INC000435,5 September 2025,Legal,Vendor Risk,CRITICAL,True,IBSH00094,IV0009," 30,053.00 "
INC000436,17 September 2025,Risk & Audit,Approval Delay,MEDIUM,True,IBSH00049,IV0041," 139,144.00 "
INC000437,9 October 2025,Procurement,Contract Non-Compliance,LOW,False,IBSH00084,IV0002," 632,774.00 "
INC000438,25 June 2025,Supply Chain,Contract Non-Compliance,CRITICAL,True,IBSH00071,IV0017," 475,897.00 "
INC000439,29 January 2026,Procurement,Payment Delay,MEDIUM,True,IBSH00054,IV0043," 738,961.00 "
INC000440,22 July 2025,Operations,PO Expiry,HIGH,False,IBSH00054,IV0007," 663,050.00 "
INC000441,17 February 2026,Compliance,Contract Non-Compliance,LOW,False,IBSH00064,IV0013," 306,439.00 "
INC000442,8 April 2026,Legal,Training Overdue,HIGH,True,IBSH00091,IV0027," 558,558.00 "
INC000443,30 October 2025,HR,Vendor Risk,LOW,True,IBSH00089,IV0031," 584,765.00 "
INC000444,17 November 2025,Compliance,Contract Non-Compliance,LOW,True,IBSH00074,IV0043," 23,368.00 "
INC000445,8 February 2026,Compliance,Contract Non-Compliance,LOW,True,IBSH00033,IV0042," 546,561.00 "
INC000446,27 September 2025,HR,Approval Delay,HIGH,True,IBSH00013,," 286,955.00 "
INC000447,29 August 2025,Risk & Audit,Audit Finding,HIGH,True,IBSH00095,IV0008," 387,712.00 "
INC000448,19 July 2025,Vendor Management,Training Overdue,LOW,True,IBSH00046,IV0029," 155,117.00 "
INC000449,15 April 2026,Risk & Audit,PO Expiry,LOW,True,IBSH00015,IV0026," 400,722.00 "
INC000450,22 December 2025,HR,Audit Finding,HIGH,True,IBSH00084,," 500,000.00 "
INC000451,25 August 2025,Procurement,PO Expiry,MEDIUM,True,IBSH00014,IV0027," 739,987.00 "
INC000452,30 March 2026,Operations,Audit Finding,CRITICAL,True,IBSH00100,IV0023," 200,065.00 "
INC000453,10 April 2026,HR,Contract Non-Compliance,MEDIUM,True,IBSH00053,IV0029," 516,545.00 "
INC000454,24 June 2025,Risk & Audit,Approval Delay,HIGH,True,IBSH00091,IV0044," 696,789.00 "
INC000455,24 February 2026,Risk & Audit,Data Quality,MEDIUM,False,IBSH00067,IV0045," 712,382.00 "
INC000456,13 April 2026,Legal,Policy Violation,CRITICAL,True,IBSH00045,IV0043," 703,856.00 "
INC000457,13 May 2026,Operations,Approval Delay,MEDIUM,True,IBSH00002,IV0042," 595,466.00 "
INC000458,20 August 2025,Vendor Management,Contract Non-Compliance,CRITICAL,False,IBSH00097,IV0032," 529,920.00 "
INC000459,12 November 2025,Procurement,Data Quality,HIGH,True,IBSH00029,IV0036," 301,668.00 "
INC000460,26 April 2026,Compliance,Policy Violation,CRITICAL,True,IBSH00057,," 256,415.00 "
INC000461,21 March 2026,HR,Training Overdue,LOW,True,IBSH00016,IV0032," 532,669.00 "
INC000462,1 May 2026,Supply Chain,Approval Delay,LOW,True,IBSH00072,IV0036," 433,037.00 "
INC000463,1 June 2025,IT,Vendor Risk,HIGH,True,IBSH00084,IV0043," 543,030.00 "
INC000464,20 January 2026,Legal,Policy Violation,HIGH,True,IBSH00043,IV0036," 66,911.00 "
INC000465,14 April 2026,Risk & Audit,Policy Violation,CRITICAL,False,IBSH00015,IV0007," 761,470.00 "
INC000466,4 May 2026,Risk & Audit,Payment Delay,LOW,True,IBSH00071,IV0034," 367,938.00 "
INC000467,9 December 2025,HR,PO Expiry,LOW,True,IBSH00092,IV0048," 182,129.00 "
INC000468,27 December 2025,Legal,Vendor Risk,HIGH,True,IBSH00016,IV0026," 650,524.00 "
INC000469,19 September 2025,Risk & Audit,Contract Non-Compliance,MEDIUM,True,IBSH00097,IV0027," 761,606.00 "
INC000470,24 June 2025,HR,Data Quality,LOW,False,IBSH00018,IV0032," 482,388.00 "
INC000471,3 June 2025,Supply Chain,Policy Violation,LOW,False,IBSH00066,IV0050," 590,099.00 "
INC000472,30 August 2025,Vendor Management,Contract Non-Compliance,MEDIUM,False,IBSH00050,IV0043," 775,979.00 "
INC000473,4 April 2026,Supply Chain,Audit Finding,HIGH,False,IBSH00078,IV0045," 538,597.00 "
INC000474,6 October 2025,Finance,Policy Violation,CRITICAL,True,IBSH00018,IV0009," 369,513.00 "
INC000475,29 December 2025,IT,Training Overdue,HIGH,False,IBSH00092,IV0048," 745,570.00 "
INC000476,11 March 2026,Operations,Payment Delay,MEDIUM,True,IBSH00088,IV0023," 229,899.00 "
INC000477,11 May 2026,IT,Training Overdue,MEDIUM,True,IBSH00091,IV0008," 538,370.00 "
INC000478,28 November 2025,Operations,Audit Finding,CRITICAL,False,IBSH00087,IV0048," 621,116.00 "
INC000479,1 March 2026,IT,Contract Non-Compliance,CRITICAL,True,IBSH00004,IV0025," 23,390.00 "
INC000480,14 August 2025,Finance,PO Expiry,LOW,True,IBSH00037,IV0044," 219,612.00 "
INC000481,7 October 2025,Finance,Vendor Risk,LOW,True,IBSH00097,IV0035," 734,141.00 "
INC000482,17 June 2025,Operations,Data Quality,CRITICAL,True,IBSH00029,IV0048," 117,458.00 "
INC000483,28 April 2026,IT,Payment Delay,CRITICAL,False,IBSH00089,IV0043," 259,136.00 "
INC000484,25 June 2025,Risk & Audit,Data Quality,CRITICAL,True,IBSH00007,IV0001," 446,801.00 "
INC000485,7 October 2025,Risk & Audit,Data Quality,CRITICAL,True,IBSH00095,IV0039," 246,504.00 "
INC000486,9 September 2025,Vendor Management,Contract Non-Compliance,HIGH,True,IBSH00024,IV0012," 480,616.00 "
INC000487,19 February 2026,Supply Chain,Payment Delay,CRITICAL,True,IBSH00072,IV0017," 52,608.00 "
INC000488,6 August 2025,Risk & Audit,Policy Violation,HIGH,True,IBSH00091,IV0010," 15,919.00 "
INC000489,21 June 2025,Procurement,Payment Delay,HIGH,True,IBSH00063,," 635,874.00 "
INC000490,21 March 2026,Risk & Audit,Data Quality,HIGH,False,IBSH00029,IV0012," 86,421.00 "
INC000491,22 February 2026,IT,Data Quality,MEDIUM,True,IBSH00052,IV0006," 446,135.00 "
INC000492,26 November 2025,Risk & Audit,Training Overdue,MEDIUM,True,IBSH00047,IV0019," 705,556.00 "
INC000493,20 September 2025,Procurement,Contract Non-Compliance,CRITICAL,False,IBSH00086,IV0023," 598,602.00 "
INC000494,15 January 2026,Risk & Audit,Audit Finding,MEDIUM,True,IBSH00015,IV0025," 51,814.00 "
INC000495,10 October 2025,IT,Training Overdue,HIGH,False,IBSH00066,," 35,905.00 "
INC000496,16 February 2026,Finance,Vendor Risk,CRITICAL,True,IBSH00042,IV0033," 55,981.00 "
INC000497,13 July 2025,IT,Approval Delay,MEDIUM,True,IBSH00081,IV0005," 574,107.00 "
INC000498,16 September 2025,Legal,Data Quality,CRITICAL,True,IBSH00090,IV0048," 118,975.00 "
INC000499,9 January 2026,HR,Training Overdue,MEDIUM,True,IBSH00005,IV0006," 34,906.00 "
INC000500,8 July 2025,IT,Contract Non-Compliance,MEDIUM,True,IBSH00074,," 500,000.00 "
